"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","Alberta","Bioenergy",2020,1784.7296165
"Canada Net-zero","Alberta","Bioenergy with CCUS",2020,0
"Canada Net-zero","Alberta","Coal and Coke",2020,28140.70924
"Canada Net-zero","Alberta","Hydro",2020,2431.074978
"Canada Net-zero","Alberta","Hydrogen",2020,0
"Canada Net-zero","Alberta","Natural Gas",2020,41400.15023
"Canada Net-zero","Alberta","Natural Gas with CCUS",2020,0
"Canada Net-zero","Alberta","Oil",2020,15.6585
"Canada Net-zero","Alberta","Onshore Wind",2020,5452.614523
"Canada Net-zero","Alberta","Solar (Distributed)",2020,151.1215243
"Canada Net-zero","Alberta","Solar (Utility scale)",2020,27
"Canada Net-zero","Alberta","Uranium SMR",2020,0
"Canada Net-zero","Alberta","Total",2020,79403.0586118
"Canada Net-zero","British Columbia","Bioenergy",2020,3935.20309403
"Canada Net-zero","British Columbia","Bioenergy with CCUS",2020,0
"Canada Net-zero","British Columbia","Hydro",2020,63813.67406
"Canada Net-zero","British Columbia","Natural Gas",2020,1171.403262
"Canada Net-zero","British Columbia","Natural Gas with CCUS",2020,0
"Canada Net-zero","British Columbia","Oil",2020,74.23763801
"Canada Net-zero","British Columbia","Onshore Wind",2020,3008.283925
"Canada Net-zero","British Columbia","Solar (Distributed)",2020,24.65087176
"Canada Net-zero","British Columbia","Solar (Utility scale)",2020,2.186739104
"Canada Net-zero","British Columbia","Uranium SMR",2020,0
"Canada Net-zero","British Columbia","Total",2020,72029.6395899039
"Canada Net-zero","Manitoba","Bioenergy",2020,79.9
"Canada Net-zero","Manitoba","Hydro",2020,36141.96449
"Canada Net-zero","Manitoba","Natural Gas",2020,20.92594074
"Canada Net-zero","Manitoba","Oil",2020,16.412669
"Canada Net-zero","Manitoba","Onshore Wind",2020,938.8527109
"Canada Net-zero","Manitoba","Solar (Distributed)",2020,7.457391941
"Canada Net-zero","Manitoba","Solar (Utility scale)",2020,0.892769117
"Canada Net-zero","Manitoba","Uranium SMR",2020,0
"Canada Net-zero","Manitoba","Total",2020,37206.405971698
"Canada Net-zero","New Brunswick","Bioenergy",2020,561.5496
"Canada Net-zero","New Brunswick","Coal and Coke",2020,1171.178491
"Canada Net-zero","New Brunswick","Hydro",2020,2571.990183
"Canada Net-zero","New Brunswick","Natural Gas",2020,1347.390962
"Canada Net-zero","New Brunswick","Oil",2020,40.706376069
"Canada Net-zero","New Brunswick","Onshore Wind",2020,903.0197142
"Canada Net-zero","New Brunswick","Solar (Distributed)",2020,1.395795282
"Canada Net-zero","New Brunswick","Solar (Utility scale)",2020,0.258502094
"Canada Net-zero","New Brunswick","Uranium",2020,4800.479073
"Canada Net-zero","New Brunswick","Uranium SMR",2020,0
"Canada Net-zero","New Brunswick","Total",2020,11397.968696645
"Canada Net-zero","Newfoundland and Labrador","Hydro",2020,38146.82799
"Canada Net-zero","Newfoundland and Labrador","Natural Gas",2020,250.4058561
"Canada Net-zero","Newfoundland and Labrador","Oil",2020,868.53145
"Canada Net-zero","Newfoundland and Labrador","Onshore Wind",2020,194.4986979
"Canada Net-zero","Newfoundland and Labrador","Solar (Distributed)",2020,1.149481546
"Canada Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2020,0.019396747
"Canada Net-zero","Newfoundland and Labrador","Total",2020,39461.432872293
"Canada Net-zero","Nova Scotia","Bioenergy",2020,259.3270938
"Canada Net-zero","Nova Scotia","Coal and Coke",2020,4432.635651097
"Canada Net-zero","Nova Scotia","Hydro",2020,756.1396111
"Canada Net-zero","Nova Scotia","Natural Gas",2020,1663.491806
"Canada Net-zero","Nova Scotia","Offshore Wind",2020,0
"Canada Net-zero","Nova Scotia","Oil",2020,35
"Canada Net-zero","Nova Scotia","Onshore Wind",2020,925.4455625
"Canada Net-zero","Nova Scotia","Solar (Distributed)",2020,1.325767194
"Canada Net-zero","Nova Scotia","Solar (Utility scale)",2020,0.539401307
"Canada Net-zero","Nova Scotia","Total",2020,8073.904892998
"Canada Net-zero","Northwest Territories","Hydro",2020,247.6397345
"Canada Net-zero","Northwest Territories","Natural Gas",2020,80.17787354
"Canada Net-zero","Northwest Territories","Oil",2020,35.09370547
"Canada Net-zero","Northwest Territories","Onshore Wind",2020,16.7426936
"Canada Net-zero","Northwest Territories","Solar (Distributed)",2020,0.065628919
"Canada Net-zero","Northwest Territories","Solar (Utility scale)",2020,1.712982425
"Canada Net-zero","Northwest Territories","Total",2020,381.432618454
"Canada Net-zero","Nunavut","Oil",2020,250.0273939
"Canada Net-zero","Nunavut","Onshore Wind",2020,0
"Canada Net-zero","Nunavut","Solar (Distributed)",2020,0.526082355
"Canada Net-zero","Nunavut","Solar (Utility scale)",2020,0.034400618
"Canada Net-zero","Nunavut","Total",2020,250.587876873
"Canada Net-zero","Ontario","Bioenergy",2020,1100
"Canada Net-zero","Ontario","Bioenergy with CCUS",2020,0
"Canada Net-zero","Ontario","Hydro",2020,39004.97588
"Canada Net-zero","Ontario","Natural Gas",2020,11039.35575
"Canada Net-zero","Ontario","Natural Gas with CCUS",2020,0
"Canada Net-zero","Ontario","Oil",2020,85.07274
"Canada Net-zero","Ontario","Onshore Wind",2020,13168.79678
"Canada Net-zero","Ontario","Solar (Distributed)",2020,3135.804094
"Canada Net-zero","Ontario","Solar (Utility scale)",2020,2500.395514
"Canada Net-zero","Ontario","Uranium",2020,87845.32544
"Canada Net-zero","Ontario","Uranium SMR",2020,0
"Canada Net-zero","Ontario","Total",2020,157879.726198
"Canada Net-zero","Prince Edward Island","Bioenergy",2020,1.51460529
"Canada Net-zero","Prince Edward Island","Oil",2020,4.54341999999999
"Canada Net-zero","Prince Edward Island","Onshore Wind",2020,700.3405113
"Canada Net-zero","Prince Edward Island","Solar (Distributed)",2020,0.678037409
"Canada Net-zero","Prince Edward Island","Solar (Utility scale)",2020,0
"Canada Net-zero","Prince Edward Island","Uranium SMR",2020,0
"Canada Net-zero","Prince Edward Island","Total",2020,707.076573999
"Canada Net-zero","Quebec","Bioenergy",2020,1309.409371
"Canada Net-zero","Quebec","Hydro",2020,194227.4217
"Canada Net-zero","Quebec","Natural Gas",2020,86.55097888
"Canada Net-zero","Quebec","Oil",2020,556.76228
"Canada Net-zero","Quebec","Onshore Wind",2020,11322.93233
"Canada Net-zero","Quebec","Solar (Distributed)",2020,29.13705025
"Canada Net-zero","Quebec","Solar (Utility scale)",2020,1.397480685
"Canada Net-zero","Quebec","Uranium SMR",2020,0
"Canada Net-zero","Quebec","Total",2020,207533.611190815
"Canada Net-zero","Saskatchewan","Bioenergy",2020,109.2505853
"Canada Net-zero","Saskatchewan","Bioenergy with CCUS",2020,0
"Canada Net-zero","Saskatchewan","Coal and Coke",2020,7463.962609
"Canada Net-zero","Saskatchewan","Coal with CCUS",2020,705.18
"Canada Net-zero","Saskatchewan","Hydro",2020,3389.167165
"Canada Net-zero","Saskatchewan","Natural Gas",2020,10914.03107
"Canada Net-zero","Saskatchewan","Natural Gas with CCUS",2020,0
"Canada Net-zero","Saskatchewan","Oil",2020,1.019664
"Canada Net-zero","Saskatchewan","Onshore Wind",2020,821.4689656
"Canada Net-zero","Saskatchewan","Solar (Distributed)",2020,31.0752283
"Canada Net-zero","Saskatchewan","Solar (Utility scale)",2020,0.954071844
"Canada Net-zero","Saskatchewan","Uranium SMR",2020,0
"Canada Net-zero","Saskatchewan","Total",2020,23436.109359044
"Canada Net-zero","Yukon","Bioenergy",2020,0.244211757
"Canada Net-zero","Yukon","Hydro",2020,438.4084069
"Canada Net-zero","Yukon","Natural Gas",2020,63.61556193
"Canada Net-zero","Yukon","Oil",2020,75.33162
"Canada Net-zero","Yukon","Onshore Wind",2020,1.076967333
"Canada Net-zero","Yukon","Solar (Distributed)",2020,0.060394757
"Canada Net-zero","Yukon","Solar (Utility scale)",2020,0.061531958
"Canada Net-zero","Yukon","Total",2020,578.798694635
"Current Measures","Alberta","Bioenergy",2020,1784.7296165
"Current Measures","Alberta","Coal and Coke",2020,28140.70924
"Current Measures","Alberta","Hydro",2020,2431.074978
"Current Measures","Alberta","Natural Gas",2020,41400.15023
"Current Measures","Alberta","Oil",2020,15.6585
"Current Measures","Alberta","Onshore Wind",2020,5452.614523
"Current Measures","Alberta","Solar (Distributed)",2020,151.1215243
"Current Measures","Alberta","Solar (Utility scale)",2020,27
"Current Measures","Alberta","Total",2020,79403.0586118
"Current Measures","British Columbia","Bioenergy",2020,3935.20309403
"Current Measures","British Columbia","Hydro",2020,63813.67406
"Current Measures","British Columbia","Natural Gas",2020,1171.403262
"Current Measures","British Columbia","Oil",2020,74.23763801
"Current Measures","British Columbia","Onshore Wind",2020,3008.283925
"Current Measures","British Columbia","Solar (Distributed)",2020,24.65087176
"Current Measures","British Columbia","Solar (Utility scale)",2020,2.186739104
"Current Measures","British Columbia","Total",2020,72029.6395899039
"Current Measures","Manitoba","Bioenergy",2020,79.9
"Current Measures","Manitoba","Hydro",2020,36141.96449
"Current Measures","Manitoba","Natural Gas",2020,20.92594074
"Current Measures","Manitoba","Oil",2020,16.412669
"Current Measures","Manitoba","Onshore Wind",2020,938.8527109
"Current Measures","Manitoba","Solar (Distributed)",2020,7.457391941
"Current Measures","Manitoba","Solar (Utility scale)",2020,0.892769117
"Current Measures","Manitoba","Total",2020,37206.405971698
"Current Measures","New Brunswick","Bioenergy",2020,561.5496
"Current Measures","New Brunswick","Coal and Coke",2020,1171.178491
"Current Measures","New Brunswick","Hydro",2020,2571.990183
"Current Measures","New Brunswick","Natural Gas",2020,1347.390962
"Current Measures","New Brunswick","Oil",2020,40.706376069
"Current Measures","New Brunswick","Onshore Wind",2020,903.0197142
"Current Measures","New Brunswick","Solar (Distributed)",2020,1.395795282
"Current Measures","New Brunswick","Solar (Utility scale)",2020,0.258502094
"Current Measures","New Brunswick","Uranium",2020,4800.479073
"Current Measures","New Brunswick","Total",2020,11397.968696645
"Current Measures","Newfoundland and Labrador","Hydro",2020,38146.82799
"Current Measures","Newfoundland and Labrador","Natural Gas",2020,250.4058561
"Current Measures","Newfoundland and Labrador","Oil",2020,868.53145
"Current Measures","Newfoundland and Labrador","Onshore Wind",2020,194.4986979
"Current Measures","Newfoundland and Labrador","Solar (Distributed)",2020,1.149481546
"Current Measures","Newfoundland and Labrador","Solar (Utility scale)",2020,0.019396747
"Current Measures","Newfoundland and Labrador","Total",2020,39461.432872293
"Current Measures","Nova Scotia","Bioenergy",2020,259.3270938
"Current Measures","Nova Scotia","Coal and Coke",2020,4432.635651097
"Current Measures","Nova Scotia","Hydro",2020,756.1396111
"Current Measures","Nova Scotia","Natural Gas",2020,1663.491806
"Current Measures","Nova Scotia","Oil",2020,35
"Current Measures","Nova Scotia","Onshore Wind",2020,925.4455625
"Current Measures","Nova Scotia","Solar (Distributed)",2020,1.325767194
"Current Measures","Nova Scotia","Solar (Utility scale)",2020,0.539401307
"Current Measures","Nova Scotia","Total",2020,8073.904892998
"Current Measures","Northwest Territories","Hydro",2020,247.6397345
"Current Measures","Northwest Territories","Natural Gas",2020,80.17787354
"Current Measures","Northwest Territories","Oil",2020,35.09370547
"Current Measures","Northwest Territories","Onshore Wind",2020,16.7426936
"Current Measures","Northwest Territories","Solar (Distributed)",2020,0.065628919
"Current Measures","Northwest Territories","Solar (Utility scale)",2020,1.712982425
"Current Measures","Northwest Territories","Total",2020,381.432618454
"Current Measures","Nunavut","Bioenergy",2020,0
"Current Measures","Nunavut","Oil",2020,250.0273939
"Current Measures","Nunavut","Onshore Wind",2020,0
"Current Measures","Nunavut","Solar (Distributed)",2020,0.526082355
"Current Measures","Nunavut","Solar (Utility scale)",2020,0.034400618
"Current Measures","Nunavut","Total",2020,250.587876873
"Current Measures","Ontario","Bioenergy",2020,1100
"Current Measures","Ontario","Hydro",2020,39004.97588
"Current Measures","Ontario","Natural Gas",2020,11039.35575
"Current Measures","Ontario","Oil",2020,85.07274
"Current Measures","Ontario","Onshore Wind",2020,13168.79678
"Current Measures","Ontario","Solar (Distributed)",2020,3135.804094
"Current Measures","Ontario","Solar (Utility scale)",2020,2500.395514
"Current Measures","Ontario","Uranium",2020,87845.32544
"Current Measures","Ontario","Uranium SMR",2020,0
"Current Measures","Ontario","Total",2020,157879.726198
"Current Measures","Prince Edward Island","Bioenergy",2020,1.51460529
"Current Measures","Prince Edward Island","Oil",2020,4.54341999999999
"Current Measures","Prince Edward Island","Onshore Wind",2020,700.3405113
"Current Measures","Prince Edward Island","Solar (Distributed)",2020,0.678037409
"Current Measures","Prince Edward Island","Solar (Utility scale)",2020,0
"Current Measures","Prince Edward Island","Total",2020,707.076573999
"Current Measures","Quebec","Bioenergy",2020,1309.409371
"Current Measures","Quebec","Hydro",2020,194227.4217
"Current Measures","Quebec","Natural Gas",2020,86.55097888
"Current Measures","Quebec","Oil",2020,556.76228
"Current Measures","Quebec","Onshore Wind",2020,11322.93233
"Current Measures","Quebec","Solar (Distributed)",2020,29.13705025
"Current Measures","Quebec","Solar (Utility scale)",2020,1.397480685
"Current Measures","Quebec","Total",2020,207533.611190815
"Current Measures","Saskatchewan","Bioenergy",2020,109.2505853
"Current Measures","Saskatchewan","Coal and Coke",2020,7463.962609
"Current Measures","Saskatchewan","Coal with CCUS",2020,705.18
"Current Measures","Saskatchewan","Hydro",2020,3389.167165
"Current Measures","Saskatchewan","Natural Gas",2020,10914.03107
"Current Measures","Saskatchewan","Oil",2020,1.019664
"Current Measures","Saskatchewan","Onshore Wind",2020,821.4689656
"Current Measures","Saskatchewan","Solar (Distributed)",2020,31.0752283
"Current Measures","Saskatchewan","Solar (Utility scale)",2020,0.954071844
"Current Measures","Saskatchewan","Total",2020,23436.109359044
"Current Measures","Yukon","Bioenergy",2020,0.244211757
"Current Measures","Yukon","Hydro",2020,438.4084069
"Current Measures","Yukon","Natural Gas",2020,63.61556193
"Current Measures","Yukon","Oil",2020,75.33162
"Current Measures","Yukon","Onshore Wind",2020,1.076967333
"Current Measures","Yukon","Solar (Distributed)",2020,0.060394757
"Current Measures","Yukon","Solar (Utility scale)",2020,0.061531958
"Current Measures","Yukon","Total",2020,578.798694635
"Global Net-zero","Alberta","Bioenergy",2020,1784.7296165
"Global Net-zero","Alberta","Bioenergy with CCUS",2020,0
"Global Net-zero","Alberta","Coal and Coke",2020,28140.70924
"Global Net-zero","Alberta","Hydro",2020,2431.074978
"Global Net-zero","Alberta","Natural Gas",2020,41400.15023
"Global Net-zero","Alberta","Natural Gas with CCUS",2020,0
"Global Net-zero","Alberta","Oil",2020,15.6585
"Global Net-zero","Alberta","Onshore Wind",2020,5452.614523
"Global Net-zero","Alberta","Solar (Distributed)",2020,151.1215243
"Global Net-zero","Alberta","Solar (Utility scale)",2020,27
"Global Net-zero","Alberta","Uranium SMR",2020,0
"Global Net-zero","Alberta","Total",2020,79403.0586118
"Global Net-zero","British Columbia","Bioenergy",2020,3935.20309403
"Global Net-zero","British Columbia","Bioenergy with CCUS",2020,0
"Global Net-zero","British Columbia","Hydro",2020,63813.67406
"Global Net-zero","British Columbia","Natural Gas",2020,1171.403262
"Global Net-zero","British Columbia","Natural Gas with CCUS",2020,0
"Global Net-zero","British Columbia","Oil",2020,74.23763801
"Global Net-zero","British Columbia","Onshore Wind",2020,3008.283925
"Global Net-zero","British Columbia","Solar (Distributed)",2020,24.65087176
"Global Net-zero","British Columbia","Solar (Utility scale)",2020,2.186739104
"Global Net-zero","British Columbia","Uranium SMR",2020,0
"Global Net-zero","British Columbia","Total",2020,72029.6395899039
"Global Net-zero","Manitoba","Bioenergy",2020,79.9
"Global Net-zero","Manitoba","Hydro",2020,36141.96449
"Global Net-zero","Manitoba","Natural Gas",2020,20.92594074
"Global Net-zero","Manitoba","Oil",2020,16.412669
"Global Net-zero","Manitoba","Onshore Wind",2020,938.8527109
"Global Net-zero","Manitoba","Solar (Distributed)",2020,7.457391941
"Global Net-zero","Manitoba","Solar (Utility scale)",2020,0.892769117
"Global Net-zero","Manitoba","Uranium SMR",2020,0
"Global Net-zero","Manitoba","Total",2020,37206.405971698
"Global Net-zero","New Brunswick","Bioenergy",2020,561.5496
"Global Net-zero","New Brunswick","Coal and Coke",2020,1171.178491
"Global Net-zero","New Brunswick","Hydro",2020,2571.990183
"Global Net-zero","New Brunswick","Natural Gas",2020,1347.390962
"Global Net-zero","New Brunswick","Oil",2020,40.706376069
"Global Net-zero","New Brunswick","Onshore Wind",2020,903.0197142
"Global Net-zero","New Brunswick","Solar (Distributed)",2020,1.395795282
"Global Net-zero","New Brunswick","Solar (Utility scale)",2020,0.258502094
"Global Net-zero","New Brunswick","Uranium",2020,4800.479073
"Global Net-zero","New Brunswick","Uranium SMR",2020,0
"Global Net-zero","New Brunswick","Total",2020,11397.968696645
"Global Net-zero","Newfoundland and Labrador","Hydro",2020,38146.82799
"Global Net-zero","Newfoundland and Labrador","Natural Gas",2020,250.4058561
"Global Net-zero","Newfoundland and Labrador","Oil",2020,868.53145
"Global Net-zero","Newfoundland and Labrador","Onshore Wind",2020,194.4986979
"Global Net-zero","Newfoundland and Labrador","Solar (Distributed)",2020,1.149481546
"Global Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2020,0.019396747
"Global Net-zero","Newfoundland and Labrador","Total",2020,39461.432872293
"Global Net-zero","Nova Scotia","Bioenergy",2020,259.3270938
"Global Net-zero","Nova Scotia","Coal and Coke",2020,4432.635651097
"Global Net-zero","Nova Scotia","Hydro",2020,756.1396111
"Global Net-zero","Nova Scotia","Natural Gas",2020,1663.491806
"Global Net-zero","Nova Scotia","Offshore Wind",2020,0
"Global Net-zero","Nova Scotia","Oil",2020,35
"Global Net-zero","Nova Scotia","Onshore Wind",2020,925.4455625
"Global Net-zero","Nova Scotia","Solar (Distributed)",2020,1.325767194
"Global Net-zero","Nova Scotia","Solar (Utility scale)",2020,0.539401307
"Global Net-zero","Nova Scotia","Total",2020,8073.904892998
"Global Net-zero","Northwest Territories","Hydro",2020,247.6397345
"Global Net-zero","Northwest Territories","Natural Gas",2020,80.17787354
"Global Net-zero","Northwest Territories","Oil",2020,35.09370547
"Global Net-zero","Northwest Territories","Onshore Wind",2020,16.7426936
"Global Net-zero","Northwest Territories","Solar (Distributed)",2020,0.065628919
"Global Net-zero","Northwest Territories","Solar (Utility scale)",2020,1.712982425
"Global Net-zero","Northwest Territories","Total",2020,381.432618454
"Global Net-zero","Nunavut","Oil",2020,250.0273939
"Global Net-zero","Nunavut","Onshore Wind",2020,0
"Global Net-zero","Nunavut","Solar (Distributed)",2020,0.526082355
"Global Net-zero","Nunavut","Solar (Utility scale)",2020,0.034400618
"Global Net-zero","Nunavut","Total",2020,250.587876873
"Global Net-zero","Ontario","Bioenergy",2020,1100
"Global Net-zero","Ontario","Bioenergy with CCUS",2020,0
"Global Net-zero","Ontario","Hydro",2020,39004.97588
"Global Net-zero","Ontario","Natural Gas",2020,11039.35575
"Global Net-zero","Ontario","Natural Gas with CCUS",2020,0
"Global Net-zero","Ontario","Oil",2020,85.07274
"Global Net-zero","Ontario","Onshore Wind",2020,13168.79678
"Global Net-zero","Ontario","Solar (Distributed)",2020,3135.804094
"Global Net-zero","Ontario","Solar (Utility scale)",2020,2500.395514
"Global Net-zero","Ontario","Uranium",2020,87845.32544
"Global Net-zero","Ontario","Uranium SMR",2020,0
"Global Net-zero","Ontario","Total",2020,157879.726198
"Global Net-zero","Prince Edward Island","Bioenergy",2020,1.51460529
"Global Net-zero","Prince Edward Island","Oil",2020,4.54341999999999
"Global Net-zero","Prince Edward Island","Onshore Wind",2020,700.3405113
"Global Net-zero","Prince Edward Island","Solar (Distributed)",2020,0.678037409
"Global Net-zero","Prince Edward Island","Solar (Utility scale)",2020,0
"Global Net-zero","Prince Edward Island","Uranium SMR",2020,0
"Global Net-zero","Prince Edward Island","Total",2020,707.076573999
"Global Net-zero","Quebec","Bioenergy",2020,1309.409371
"Global Net-zero","Quebec","Hydro",2020,194227.4217
"Global Net-zero","Quebec","Natural Gas",2020,86.55097888
"Global Net-zero","Quebec","Oil",2020,556.76228
"Global Net-zero","Quebec","Onshore Wind",2020,11322.93233
"Global Net-zero","Quebec","Solar (Distributed)",2020,29.13705025
"Global Net-zero","Quebec","Solar (Utility scale)",2020,1.397480685
"Global Net-zero","Quebec","Uranium SMR",2020,0
"Global Net-zero","Quebec","Total",2020,207533.611190815
"Global Net-zero","Saskatchewan","Bioenergy",2020,109.2505853
"Global Net-zero","Saskatchewan","Bioenergy with CCUS",2020,0
"Global Net-zero","Saskatchewan","Coal and Coke",2020,7463.962609
"Global Net-zero","Saskatchewan","Coal with CCUS",2020,705.18
"Global Net-zero","Saskatchewan","Hydro",2020,3389.167165
"Global Net-zero","Saskatchewan","Natural Gas",2020,10914.03107
"Global Net-zero","Saskatchewan","Natural Gas with CCUS",2020,0
"Global Net-zero","Saskatchewan","Oil",2020,1.019664
"Global Net-zero","Saskatchewan","Onshore Wind",2020,821.4689656
"Global Net-zero","Saskatchewan","Solar (Distributed)",2020,31.0752283
"Global Net-zero","Saskatchewan","Solar (Utility scale)",2020,0.954071844
"Global Net-zero","Saskatchewan","Uranium SMR",2020,0
"Global Net-zero","Saskatchewan","Total",2020,23436.109359044
"Global Net-zero","Yukon","Bioenergy",2020,0.244211757
"Global Net-zero","Yukon","Hydro",2020,438.4084069
"Global Net-zero","Yukon","Natural Gas",2020,63.61556193
"Global Net-zero","Yukon","Oil",2020,75.33162
"Global Net-zero","Yukon","Onshore Wind",2020,1.076967333
"Global Net-zero","Yukon","Solar (Distributed)",2020,0.060394757
"Global Net-zero","Yukon","Solar (Utility scale)",2020,0.061531958
"Global Net-zero","Yukon","Total",2020,578.798694635
"Canada Net-zero","Alberta","Bioenergy",2021,1793.5759594
"Canada Net-zero","Alberta","Bioenergy with CCUS",2021,0
"Canada Net-zero","Alberta","Coal and Coke",2021,16216.19679
"Canada Net-zero","Alberta","Hydro",2021,2151.074978
"Canada Net-zero","Alberta","Hydrogen",2021,0
"Canada Net-zero","Alberta","Natural Gas",2021,46519.47288
"Canada Net-zero","Alberta","Natural Gas with CCUS",2021,0
"Canada Net-zero","Alberta","Oil",2021,15.6585
"Canada Net-zero","Alberta","Onshore Wind",2021,6800.614523
"Canada Net-zero","Alberta","Solar (Distributed)",2021,151.1215243
"Canada Net-zero","Alberta","Solar (Utility scale)",2021,254.7606822
"Canada Net-zero","Alberta","Uranium SMR",2021,0
"Canada Net-zero","Alberta","Total",2021,73902.4758369
"Canada Net-zero","British Columbia","Bioenergy",2021,4057.95071073
"Canada Net-zero","British Columbia","Bioenergy with CCUS",2021,0
"Canada Net-zero","British Columbia","Hydro",2021,63800.59024
"Canada Net-zero","British Columbia","Natural Gas",2021,1695.118811
"Canada Net-zero","British Columbia","Natural Gas with CCUS",2021,0
"Canada Net-zero","British Columbia","Oil",2021,72.3681586
"Canada Net-zero","British Columbia","Onshore Wind",2021,2008.283925
"Canada Net-zero","British Columbia","Solar (Distributed)",2021,24.65087176
"Canada Net-zero","British Columbia","Solar (Utility scale)",2021,5.186739104
"Canada Net-zero","British Columbia","Uranium SMR",2021,0
"Canada Net-zero","British Columbia","Total",2021,71664.1494561939
"Canada Net-zero","Manitoba","Bioenergy",2021,80.896
"Canada Net-zero","Manitoba","Hydro",2021,28860.20635
"Canada Net-zero","Manitoba","Natural Gas",2021,46.29820227
"Canada Net-zero","Manitoba","Oil",2021,16.87422672
"Canada Net-zero","Manitoba","Onshore Wind",2021,948.9920318
"Canada Net-zero","Manitoba","Solar (Distributed)",2021,7.457391941
"Canada Net-zero","Manitoba","Solar (Utility scale)",2021,2.892769117
"Canada Net-zero","Manitoba","Uranium SMR",2021,0
"Canada Net-zero","Manitoba","Total",2021,29963.616971848
"Canada Net-zero","New Brunswick","Bioenergy",2021,587.9155979
"Canada Net-zero","New Brunswick","Coal and Coke",2021,1470.457353
"Canada Net-zero","New Brunswick","Hydro",2021,2622.059086
"Canada Net-zero","New Brunswick","Natural Gas",2021,1580.222794
"Canada Net-zero","New Brunswick","Oil",2021,40.391461123
"Canada Net-zero","New Brunswick","Onshore Wind",2021,710.0197142
"Canada Net-zero","New Brunswick","Solar (Distributed)",2021,1.395795282
"Canada Net-zero","New Brunswick","Solar (Utility scale)",2021,0.258502094
"Canada Net-zero","New Brunswick","Uranium",2021,4613.244492
"Canada Net-zero","New Brunswick","Uranium SMR",2021,0
"Canada Net-zero","New Brunswick","Total",2021,11625.964795599
"Canada Net-zero","Newfoundland and Labrador","Hydro",2021,40848.0614
"Canada Net-zero","Newfoundland and Labrador","Natural Gas",2021,264.0785
"Canada Net-zero","Newfoundland and Labrador","Oil",2021,668.53145
"Canada Net-zero","Newfoundland and Labrador","Onshore Wind",2021,160.4986979
"Canada Net-zero","Newfoundland and Labrador","Solar (Distributed)",2021,1.149481546
"Canada Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2021,0.019396747
"Canada Net-zero","Newfoundland and Labrador","Total",2021,41942.338926193
"Canada Net-zero","Nova Scotia","Bioenergy",2021,330.0486243
"Canada Net-zero","Nova Scotia","Coal and Coke",2021,4621.243125371
"Canada Net-zero","Nova Scotia","Hydro",2021,780.0129971
"Canada Net-zero","Nova Scotia","Natural Gas",2021,1558.867027
"Canada Net-zero","Nova Scotia","Offshore Wind",2021,0
"Canada Net-zero","Nova Scotia","Oil",2021,36
"Canada Net-zero","Nova Scotia","Onshore Wind",2021,1137.446083
"Canada Net-zero","Nova Scotia","Solar (Distributed)",2021,1.325767194
"Canada Net-zero","Nova Scotia","Solar (Utility scale)",2021,0.539401307
"Canada Net-zero","Nova Scotia","Total",2021,8465.483025272
"Canada Net-zero","Northwest Territories","Hydro",2021,247.3671771
"Canada Net-zero","Northwest Territories","Natural Gas",2021,86.89607194
"Canada Net-zero","Northwest Territories","Oil",2021,34.89625416
"Canada Net-zero","Northwest Territories","Onshore Wind",2021,17.7426936
"Canada Net-zero","Northwest Territories","Solar (Distributed)",2021,0.158238719
"Canada Net-zero","Northwest Territories","Solar (Utility scale)",2021,1.712982425
"Canada Net-zero","Northwest Territories","Total",2021,388.773417944
"Canada Net-zero","Nunavut","Oil",2021,278.3927452
"Canada Net-zero","Nunavut","Onshore Wind",2021,0
"Canada Net-zero","Nunavut","Solar (Distributed)",2021,0.531062546
"Canada Net-zero","Nunavut","Solar (Utility scale)",2021,0.034400618
"Canada Net-zero","Nunavut","Total",2021,278.958208364
"Canada Net-zero","Ontario","Bioenergy",2021,1194.880924654
"Canada Net-zero","Ontario","Bioenergy with CCUS",2021,0
"Canada Net-zero","Ontario","Hydro",2021,35232.73945
"Canada Net-zero","Ontario","Natural Gas",2021,11386.08939
"Canada Net-zero","Ontario","Natural Gas with CCUS",2021,0
"Canada Net-zero","Ontario","Oil",2021,93.3597
"Canada Net-zero","Ontario","Onshore Wind",2021,12419.57521
"Canada Net-zero","Ontario","Solar (Distributed)",2021,3225.255217
"Canada Net-zero","Ontario","Solar (Utility scale)",2021,2500.800225
"Canada Net-zero","Ontario","Uranium",2021,82281.38901
"Canada Net-zero","Ontario","Uranium SMR",2021,0
"Canada Net-zero","Ontario","Total",2021,148334.089126654
"Canada Net-zero","Prince Edward Island","Bioenergy",2021,2.188086962
"Canada Net-zero","Prince Edward Island","Oil",2021,4.54341999999999
"Canada Net-zero","Prince Edward Island","Onshore Wind",2021,598.5599788
"Canada Net-zero","Prince Edward Island","Solar (Distributed)",2021,0.678037409
"Canada Net-zero","Prince Edward Island","Solar (Utility scale)",2021,0
"Canada Net-zero","Prince Edward Island","Uranium SMR",2021,0
"Canada Net-zero","Prince Edward Island","Total",2021,605.969523171
"Canada Net-zero","Quebec","Bioenergy",2021,1301.22318916
"Canada Net-zero","Quebec","Hydro",2021,200588.0684
"Canada Net-zero","Quebec","Natural Gas",2021,106.408001
